,power_output,NYC_demand,Pdifference,PV2G,Charging,Discharging,Critical,Driving,Charging_noscale,Parked_neutral,Notavailbutparked,Total_needed,margin,noscale,Discharging_noscale,P_balance
2013-04-01 00:15:00,8693.96880125,4404.853,4289.115801249999,-4250,85000,0,0,0,17.0,13453.0,2742.0,106725.39149888144,10711.0,17.0,,39.115801249999095
2013-04-01 00:30:00,8710.813034499999,4354.8325,4355.980534499999,-4250,85000,0,0,0,17.0,13453.0,2742.0,106725.39149888144,10711.0,17.0,,105.98053449999861
2013-04-01 00:45:00,8727.65726775,4316.5913,4411.065967750001,-4250,85000,0,0,0,17.0,13453.0,2742.0,106725.39149888144,10711.0,17.0,,161.0659677500007
2013-04-01 01:00:00,8744.501501,4269.4546,4475.046901000001,-4250,85000,0,0,35,17.0,13418.0,2734.0,106994.67339500983,10684.0,17.0,,225.04690100000062
2013-04-01 01:15:00,8732.34856225,4232.4175,4499.93106225,-4250,85000,0,0,47,17.0,13406.0,2734.0,107114.79090653942,10672.0,17.0,,249.93106224999974
2013-04-01 01:30:00,8720.1956235,4184.8037,4535.391923499999,-4500,90000,0,0,58,18.0,13394.0,2731.0,113500.6085572512,10663.0,18.0,,35.39192349999939
2013-04-01 01:45:00,8708.04268475,4157.8374,4550.20528475,-4500,90000,0,0,45,18.0,13407.0,2735.0,113405.05144995324,10672.0,18.0,,50.20528474999992
2013-04-01 02:00:00,8695.889745999999,4124.997,4570.892745999999,-4500,90000,0,0,30,18.0,13422.0,2736.0,113256.7264573991,10686.0,18.0,,70.89274599999862
2013-04-01 02:15:00,8681.443458,4076.6914,4604.752058,-4500,90000,0,0,25,18.0,13427.0,2738.0,113224.99299523677,10689.0,18.0,,104.75205800000003
2013-04-01 02:30:00,8666.99717,4082.0898,4584.907370000001,-4500,90000,0,0,56,18.0,13396.0,2738.0,113553.76545522669,10658.0,18.0,,84.90737000000081
2013-04-01 02:45:00,8652.550882,4077.7026,4574.848281999999,-4500,90000,0,0,16,18.0,13436.0,2740.0,113151.01736046294,10696.0,18.0,,74.84828199999902
2013-04-01 03:00:00,8638.104594,4022.9229,4615.181694000001,-4500,90000,0,0,12,18.0,13440.0,2738.0,113087.68656716419,10702.0,18.0,,115.18169400000079
2013-04-01 03:15:00,8629.372167750002,4027.2314,4602.140767750001,-4500,90000,0,0,21,18.0,13431.0,2739.0,113193.27731092437,10692.0,18.0,,102.14076775000103
2013-04-01 03:30:00,8620.639741500001,4013.0122,4607.627541500001,-4500,90000,0,0,17,18.0,13435.0,2739.0,113151.01736046295,10696.0,18.0,,107.62754150000092
2013-04-01 03:45:00,8611.90731525,4006.9233,4604.98401525,-4500,90000,0,0,21,18.0,13431.0,2741.0,113214.4191258872,10690.0,18.0,,104.98401525000008
2013-04-01 04:00:00,8603.174889,3999.7568,4603.418089,-4500,90000,0,0,67,18.0,13385.0,2730.0,113585.68350042164,10655.0,18.0,,103.41808899999978
2013-04-01 04:15:00,8586.64426125,4033.005,4553.639261249999,-4500,90000,0,0,39,18.0,13413.0,2735.0,113341.43605086014,10678.0,18.0,,53.639261249999436
2013-04-01 04:30:00,8570.113633500001,4036.2988,4533.8148335000005,-4500,90000,0,0,82,18.0,13370.0,2726.0,113702.87000562745,10644.0,18.0,,33.81483350000053
2013-04-01 04:45:00,8553.58300575,4044.6492,4508.933805750001,-4500,90000,0,0,126,18.0,13326.0,2716.0,114066.61648475725,10610.0,18.0,,8.933805750000829
2013-04-01 05:00:00,8537.052378,4061.3152,4475.737178,-4250,85000,0,0,127,17.0,13326.0,2714.0,107719.44679650014,10612.0,17.0,,225.7371780000003
2013-04-01 05:15:00,8521.25135825,4149.5146,4371.736758249999,-4250,85000,0,0,221,17.0,13232.0,2691.0,108443.83405948097,10541.0,17.0,,121.73675824999918
2013-04-01 05:30:00,8505.4503385,4216.0737,4289.376638500001,-4250,85000,0,0,317,17.0,13136.0,2675.0,109271.80759686962,10461.0,17.0,,39.37663850000081
