,power_output,NYC_demand,Pdifference,PV2G,Pdifference_left,Power_missing,Charging,Discharging,Critical,Driving,Missing_noscale,Blocked_high,Blocked_low,P_Blocked_high,P_Blocked_low,P_driving,Total,P_balance_without,P_balance_with_missing
2013-01-01 00:00:00,,,,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,,4295.292095000001,4295.292095000001
2013-01-01 00:15:00,8919.200095,4623.907999999999,4295.292095000001,-4275.0,4295.292095000001,0,85500,0,0,0,0,5308,0,0.19703043801039347,0.0,0,106479.75221893491,36.812701750001,36.812701750001
2013-01-01 00:30:00,8918.053701750001,4606.241,4311.812701750001,-4300.0,4311.812701750001,0,86000,0,0,0,0,5308,0,0.19703043801039347,0.0,0,107102.44082840237,43.55570850000004,43.55570850000004
2013-01-01 00:45:00,8916.9073085,4573.3516,4343.5557085,-4325.0,4343.5557085,0,86500,0,0,0,0,5308,0,0.19703043801039347,0.0,0,107725.12943786982,91.0029152499992,91.0029152499992
2013-01-01 01:00:00,8915.760915249999,4499.758,4416.002915249999,-4400.0,4416.002915249999,0,88000,0,0,0,0,5308,0,0.19703043801039347,0.0,0,109593.19526627219,-18.73997800000143,-18.73997800000143
2013-01-01 01:15:00,8914.614522,4533.3545,4381.260021999999,-4375.0,4381.260021999999,0,87500,0,0,75,0,5291,0,0.1963994060876021,0.0,0,109263.46528228423,107.5058292499989,107.5058292499989
2013-01-01 01:30:00,8893.874529249999,4411.3687,4482.505829249999,-4475.0,4482.505829249999,0,89500,0,0,102,0,5286,0,0.19621380846325168,0.0,0,111875.0,65.53883649999989,65.53883649999989
2013-01-01 01:45:00,8873.1345365,4332.5957,4540.5388365,-4525.0,4540.5388365,0,90500,0,0,117,0,5280,0,0.19599109131403117,0.0,0,113172.26013090098,12.962943750001614,12.962943750001614
2013-01-01 02:00:00,8852.39454375,4314.4316,4537.962943750002,-4525.0,4537.962943750002,0,90500,0,0,113,0,5289,0,0.1963251670378619,0.0,0,113198.5328257034,43.53985100000136,43.53985100000136
2013-01-01 02:15:00,8831.654551000001,4263.1147,4568.539851000001,-4550.0,4568.539851000001,0,91000,0,0,58,0,5296,0,0.19658500371195248,0.0,0,113570.83294728065,49.19322349999857,49.19322349999857
2013-01-01 02:30:00,8850.7082235,4251.515,4599.193223499999,-4575.0,4599.193223499999,0,91500,0,0,51,0,5295,0,0.1965478841870824,0.0,0,114152.54237288135,83.47189600000183,83.47189600000183
