index t,Blocked charging ,Blocked discharging ,Nb,PV2G,P_difference,P_difference_left,Size,TotalParticipation needed,alpha ,critical ,driving ,free cars,parked 
2013-08-01,539.0,0.0,2694.0,1185.36,-1149.8339769999998,-1149.8339769999998,2694.0,59268.0,22.0,0.0,0.0,0.0,2694.0
2013-08-01 00:15:00,25666.0,259.0,56706.0,1134.12,-1134.10408175,-1134.10408175,59268.0,56965.0,1.0,0.0,0.0,2303.0,59268.0
2013-08-01 00:30:00,15367.0,259.0,56345.0,1126.9,-1126.8891664999999,-1126.8891664999999,59268.0,56604.0,1.0,0.0,0.0,2664.0,59268.0
2013-08-01 00:45:00,4973.0,258.0,55973.0,1119.46,-1119.39845125,-1119.4484512499996,59268.0,56232.0,1.0,1.0,0.0,3036.0,59268.0
2013-08-01 01:00:00,0.0,257.0,55370.0,1107.4,-1107.347776,-1107.397776,59268.0,55804.0,1.0,1.0,176.0,3464.0,59092.0
2013-08-01 01:15:00,0.0,257.0,54083.0,1081.66,-1081.6527929,-1081.6527929,59268.0,54560.0,1.0,0.0,220.0,4708.0,59048.0
2013-08-01 00:00:00,530.0,0.0,2694.0,1185.36,-1149.8339769999998,-1149.8339769999998,2694.0,59268.0,22.0,0.0,0.0,0.0,2694.0
2013-08-01 01:30:00,0.0,257.0,52947.0,1058.94,-1058.9261498,-1058.9261498,59268.0,53446.0,1.0,0.0,242.0,5822.0,59026.0
2013-08-01 00:15:00,25746.0,287.0,56706.0,1134.12,-1134.10408175,-1134.10408175,59268.0,56993.0,1.0,0.0,0.0,2275.0,59268.0
2013-08-01 01:45:00,0.0,257.0,52164.0,1043.28,-1043.2698267,-1043.2698267,59268.0,52641.0,1.0,0.0,220.0,6627.0,59048.0
2013-08-01 00:30:00,15229.0,287.0,56345.0,1126.9,-1126.8891664999999,-1126.8891664999999,59268.0,56632.0,1.0,0.0,0.0,2636.0,59268.0
2013-08-01 02:00:00,0.0,257.0,51001.0,1020.02,-1020.0019836000001,-1020.0019836000001,59268.0,51390.0,1.0,0.0,132.0,7878.0,59136.0
2013-08-01 00:45:00,4991.0,287.0,55970.0,1119.4,-1119.39845125,-1119.39845125,59268.0,56257.0,1.0,0.0,0.0,3011.0,59268.0
2013-08-01 02:15:00,0.0,256.0,49950.0,999.0,-998.94490985,-998.99490985,59268.0,50317.0,1.0,1.0,110.0,8951.0,59158.0
2013-08-01 01:00:00,0.0,287.0,55368.0,1107.36,-1107.347776,-1107.347776,59268.0,55831.0,1.0,0.0,176.0,3437.0,59092.0
2013-08-01 02:30:00,0.0,256.0,48872.0,977.44,-977.4327560999997,-977.4327560999997,59268.0,49304.0,1.0,0.0,176.0,9964.0,59092.0
2013-08-01 01:15:00,0.0,285.0,54088.0,1081.76,-1081.6527929000001,-1081.7527928999998,59268.0,54595.0,1.0,2.0,220.0,4673.0,59048.0
2013-08-01 02:45:00,0.0,3500.0,47698.0,953.96,-952.69192235,-953.94192235,59268.0,51311.0,1.0,25.0,88.0,7957.0,59180.0
2013-08-01 01:30:00,0.0,285.0,52947.0,1058.94,-1058.9261498,-1058.9261498,59268.0,53474.0,1.0,0.0,242.0,5794.0,59026.0
2013-08-01 03:00:00,0.0,30625.0,28563.0,1142.52,-929.9249486,-930.6249486000003,59268.0,87831.0,2.0,14.0,66.0,0.0,59202.0
2013-08-01 01:45:00,0.0,285.0,52164.0,1043.28,-1043.2698267,-1043.2698267,59268.0,52669.0,1.0,0.0,220.0,6599.0,59048.0
2013-08-01 02:00:00,0.0,285.0,51001.0,1020.02,-1020.0019836000001,-1020.0019836000001,59268.0,51418.0,1.0,0.0,132.0,7850.0,59136.0
2013-08-01 03:15:00,12751.0,48571.0,39101.0,1564.04,-919.19411675,-922.34411675,87831.0,126932.0,2.0,63.0,96.0,0.0,87735.0
2013-08-01 02:15:00,0.0,284.0,49950.0,999.0,-998.94490985,-998.99490985,59268.0,50345.0,1.0,1.0,110.0,8923.0,59158.0
2013-08-01 02:30:00,0.0,284.0,48872.0,977.44,-977.4327560999997,-977.4327560999997,59268.0,49332.0,1.0,0.0,176.0,9936.0,59092.0
2013-08-01 03:30:00,24940.0,58888.0,45197.0,903.94,-901.5365849000003,-903.9365849000003,126932.0,104352.0,1.0,48.0,219.0,22580.0,126713.0
2013-08-01 02:45:00,0.0,3571.0,47680.0,953.6,-952.69192235,-953.59192235,59268.0,51357.0,1.0,18.0,88.0,7911.0,59180.0
2013-08-01 03:00:00,0.0,30728.0,28464.0,1138.56,-929.9249486,-930.4249486,59268.0,87732.0,2.0,10.0,66.0,0.0,59202.0
2013-08-01 03:45:00,13100.0,58705.0,45052.0,901.04,-891.3221530499997,-901.0221530499997,126932.0,104170.0,1.0,194.0,219.0,22762.0,126713.0
2013-08-01 03:15:00,12751.0,48711.0,38856.0,1554.24,-919.19411675,-922.44411675,87732.0,126588.0,2.0,65.0,100.0,0.0,87632.0
2013-08-01 04:00:00,3516.0,58669.0,44022.0,880.44,-878.2240611999997,-880.4240612,126932.0,103372.0,1.0,44.0,637.0,23560.0,126295.0
2013-08-01 03:30:00,25226.0,58879.0,45197.0,903.94,-901.5365849000003,-903.9365849000003,126588.0,104333.0,1.0,48.0,209.0,22255.0,126379.0
2013-08-01 04:15:00,14.0,58393.0,44832.0,896.64,-882.7751428000003,-896.6251428000003,126932.0,103991.0,1.0,277.0,489.0,22941.0,126443.0
2013-08-01 03:45:00,13154.0,58701.0,45054.0,901.08,-891.3221530499997,-901.0721530499997,126588.0,104163.0,1.0,195.0,213.0,22425.0,126375.0
2013-08-01 04:30:00,7.0,58305.0,44909.0,898.18,-893.7712443999999,-898.1712443999999,126932.0,104211.0,1.0,88.0,909.0,22721.0,126023.0
2013-08-01 04:00:00,3562.0,58663.0,44022.0,880.44,-878.2240611999997,-880.4240612,126588.0,103346.0,1.0,44.0,617.0,23242.0,125971.0
