index t,Blocked charging ,Blocked discharging ,Nb,PV2G,P_difference,P_difference_left,Size,TotalParticipation needed,alpha ,critical ,driving ,free cars,parked 
2013-04-01,501.0,0.0,2198.0,-4176.2,4178.014168,4178.014168,2694.0,84025.0,38.0,0.0,0.0,-5.0,2694.0
2013-04-01 00:15:00,1041.0,0.0,85781.0,-4289.05,4289.115801249999,4289.115801249999,83835.0,86822.0,1.0,0.0,0.0,-2987.0,83835.0
2013-04-01 00:30:00,1610.0,0.0,87118.0,-4355.9,4355.980534499999,4355.980534499999,83835.0,88728.0,1.0,0.0,0.0,-4893.0,83835.0
2013-04-01 00:45:00,11800.0,0.0,88220.0,-4411.0,4411.065967750002,4411.065967750002,83835.0,100020.0,1.0,0.0,0.0,-16185.0,83835.0
2013-04-01 01:00:00,60223.0,0.0,29833.0,-4474.95,4475.0469010000015,4475.0469010000015,83835.0,149915.0,3.0,0.0,193.0,-6414.0,83642.0
2013-04-01 01:15:00,83529.0,0.0,89997.0,-4499.85,4499.93106225,4499.93106225,130673.0,173898.0,1.0,0.0,372.0,-43225.0,130301.0
2013-04-01 01:30:00,83417.0,0.0,90706.0,-4535.3,4535.3919234999985,4535.3919234999985,130673.0,174668.0,1.0,0.0,545.0,-43995.0,130128.0
2013-04-01 01:45:00,88963.0,0.0,45501.0,-4550.1,4550.20528475,4550.20528475,130673.0,180441.0,2.0,0.0,476.0,-4267.0,130197.0
2013-04-01 02:00:00,116836.0,0.0,91416.0,-4570.8,4570.892745999999,4570.892745999999,171907.0,208623.0,1.0,0.0,371.0,-36716.0,171536.0
2013-04-01 02:15:00,130178.0,0.0,46047.0,-4604.7,4604.752058,4604.752058,171907.0,222653.0,2.0,0.0,381.0,-4699.0,171526.0
2013-04-01 02:30:00,134944.0,0.0,91697.0,-4584.85,4584.907370000001,4584.907370000001,213255.0,227288.0,1.0,0.0,647.0,-14033.0,212608.0
2013-04-01 02:45:00,159830.0,0.0,91495.0,-4574.75,4574.848281999999,4574.848281999999,213255.0,251590.0,1.0,0.0,265.0,-38335.0,212990.0
2013-04-01 03:00:00,176401.0,0.0,46151.0,-4615.1,4615.181694000001,4615.181694000001,213255.0,268937.0,2.0,0.0,234.0,-9531.0,213021.0
2013-04-01 03:15:00,200895.0,0.0,92041.0,-4602.05,4602.140767750001,4602.140767750001,249875.0,293280.0,1.0,0.0,344.0,-43405.0,249531.0
2013-04-01 03:30:00,212654.0,0.0,46075.0,-4607.5,4607.627541500001,4607.627541500001,249875.0,305378.0,2.0,0.0,574.0,-9428.0,249301.0
2013-04-01 03:45:00,217311.0,0.0,92098.0,-4604.9,4604.98401525,4604.98401525,286522.0,309842.0,1.0,0.0,433.0,-23320.0,286089.0
2013-04-01 04:00:00,238449.0,0.0,92067.0,-4603.35,4603.418089,4603.418089,286522.0,331528.0,1.0,0.0,1012.0,-45006.0,285510.0
2013-04-01 04:15:00,253291.0,0.0,45535.0,-4553.5,4553.6392612499985,4553.6392612499985,286522.0,345336.0,2.0,0.0,975.0,-13279.0,285547.0
2013-04-01 04:30:00,273833.0,0.0,45337.0,-4533.7,4533.814833500001,4533.814833500001,318778.0,366801.0,2.0,0.0,2294.0,-2686.0,316484.0
2013-04-01 04:45:00,284182.0,0.0,90177.0,-4508.85,4508.933805750001,4508.933805750001,361429.0,376937.0,1.0,0.0,2578.0,-15508.0,358851.0
2013-04-01 05:00:00,287145.0,0.0,89513.0,-4475.65,4475.737178,4475.737178,361429.0,380255.0,1.0,0.0,3597.0,-18826.0,357832.0
2013-04-01 05:15:00,309088.0,0.0,87433.0,-4371.65,4371.736758249999,4371.736758249999,361429.0,402561.0,1.0,0.0,6040.0,-41132.0,355389.0
2013-04-01 05:30:00,340049.0,0.0,14297.0,-4289.1,4289.376638500001,4289.376638500001,361429.0,434472.0,6.0,0.0,8641.0,-1558.0,352788.0
2013-04-01 05:45:00,352741.0,0.0,84736.0,-4236.8,4236.883718750002,4236.883718750002,425124.0,445378.0,1.0,0.0,7901.0,-20254.0,417223.0
2013-04-01 06:00:00,346587.0,0.0,82718.0,-4135.9,4135.967299000001,4135.967299000001,425124.0,444728.0,1.0,0.0,15423.0,-19604.0,409701.0
2013-04-01 06:15:00,356075.0,0.0,78522.0,-3926.1,3926.1814885000013,3926.1814885000013,425124.0,448193.0,1.0,0.0,13596.0,-23069.0,411528.0
2013-04-01 06:30:00,381583.0,0.0,25183.0,-3777.45,3777.544677999999,3777.544677999999,425124.0,481679.0,3.0,0.0,24547.0,-6189.0,400577.0
2013-04-01 06:45:00,393522.0,0.0,72675.0,-3633.8,3633.8588674999996,3633.808867499999,463112.0,496626.0,1.0,1.0,30428.0,-33514.0,432684.0
2013-04-01 07:00:00,379223.0,0.0,70819.0,-3540.95,3541.0410570000013,3541.0410570000013,463112.0,496475.0,1.0,0.0,46433.0,-33363.0,416679.0
2013-04-01 07:15:00,378851.0,0.0,34020.0,-3402.0,3402.0914287500013,3402.0914287500013,463112.0,498410.0,2.0,0.0,51519.0,-1278.0,411593.0
2013-04-01 07:30:00,386404.0,0.0,65201.0,-3260.05,3260.1333004999988,3260.1333004999988,495854.0,515702.0,1.0,0.0,64097.0,-19848.0,431757.0
2013-04-01 07:45:00,394234.0,0.0,63524.0,-3176.2,3176.26767225,3176.26767225,495854.0,523422.0,1.0,0.0,65664.0,-27568.0,430190.0
2013-04-01 08:00:00,393697.0,0.0,62190.0,-3109.5,3109.5625440000013,3109.5625440000013,495854.0,526601.0,1.0,0.0,70714.0,-30747.0,425140.0
2013-04-01 08:15:00,418222.0,0.0,20137.0,-3020.55,3020.7054385,3020.7054385,495854.0,539974.0,3.0,0.0,61341.0,-3846.0,434513.0
2013-04-01 08:30:00,428044.0,0.0,58430.0,-2921.5,2921.582132999999,2921.582132999999,528436.0,547509.0,1.0,0.0,61035.0,-19073.0,467401.0
2013-04-01 08:45:00,439469.0,0.0,55422.0,-2771.1,2771.1910275000014,2771.1910275000014,528436.0,547465.0,1.0,0.0,52574.0,-19029.0,475862.0
2013-04-01 09:00:00,448641.0,0.0,54525.0,-2726.25,2726.3167220000005,2726.3167220000005,528436.0,549788.0,1.0,0.0,46622.0,-21352.0,481814.0
2013-04-01 09:15:00,475960.0,0.0,17465.0,-2619.75,2619.917777000001,2619.917777000001,528436.0,566075.0,3.0,0.0,37720.0,-2709.0,490716.0
2013-04-01 09:30:00,486540.0,0.0,51422.0,-2571.1,2571.196731999999,2571.196731999999,557948.0,575073.0,1.0,0.0,37111.0,-17125.0,520837.0
2013-04-01 09:45:00,489122.0,0.0,49045.0,-2452.25,2452.315987,2452.315987,557948.0,575814.0,1.0,0.0,37647.0,-17866.0,520301.0
2013-04-01 10:00:00,487009.0,0.0,48362.0,-2418.1,2418.193042000001,2418.193042000001,557948.0,578726.0,1.0,0.0,43355.0,-20778.0,514593.0
2013-04-01 10:15:00,511049.0,0.0,15570.0,-2335.5,2335.5829289999992,2335.5829289999992,557948.0,592740.0,3.0,0.0,34981.0,-3652.0,522967.0
2013-04-01 10:30:00,516370.0,1.0,44600.0,-2230.0,2230.0622160000007,2230.0622160000007,581784.0,599836.0,1.0,0.0,38866.0,-18052.0,542918.0
2013-04-01 10:45:00,522992.0,0.0,42202.0,-2110.1,2110.1959030000007,2110.1959030000007,581784.0,598698.0,1.0,0.0,33504.0,-16914.0,548280.0
2013-04-01 11:00:00,516315.0,0.0,40495.0,-2024.75,2024.80159,2024.80159,581784.0,600322.0,1.0,0.0,43512.0,-18538.0,538272.0
2013-04-01 11:15:00,533340.0,0.0,12969.0,-1945.35,1945.5241452499995,1945.5241452499995,581784.0,609693.0,3.0,0.0,37446.0,-1971.0,544338.0
2013-04-01 11:30:00,538041.0,0.0,38996.0,-1949.8,1949.8522005000007,1949.8522005000007,603780.0,618104.0,1.0,0.0,41067.0,-14324.0,562713.0
2013-04-01 11:45:00,538049.0,0.0,37982.0,-1899.1,1899.1852557499994,1899.1852557499994,603780.0,619342.0,1.0,0.0,43311.0,-15562.0,560469.0
2013-04-01 12:00:00,532083.0,0.0,36138.0,-1806.9,1806.9583109999994,1806.9583109999994,603780.0,619682.0,1.0,0.0,51461.0,-15902.0,552319.0
2013-04-01 12:15:00,547861.0,0.0,11749.0,-1762.35,1762.51621025,1762.51621025,603780.0,628528.0,3.0,0.0,45420.0,-1250.0,558360.0
2013-04-01 12:30:00,555861.0,0.0,35707.0,-1785.35,1785.4161095,1785.4161095,624778.0,636804.0,1.0,0.0,45236.0,-12026.0,579542.0
2013-04-01 12:45:00,562610.0,0.0,35914.0,-1795.7,1795.76830875,1795.76830875,624778.0,637747.0,1.0,0.0,39223.0,-12969.0,585555.0
2013-04-01 13:00:00,559594.0,0.0,36259.0,-1812.95,1813.012208,1813.012208,624778.0,640815.0,1.0,0.0,44962.0,-16037.0,579816.0
2013-04-01 13:15:00,570083.0,0.0,12037.0,-1805.55,1805.6884064999995,1805.6884064999995,624778.0,650688.0,3.0,0.0,44494.0,-1836.0,580284.0
2013-04-01 13:30:00,568250.0,0.0,35053.0,-1752.65,1752.7026049999995,1752.7026049999995,645180.0,656220.0,1.0,0.0,52917.0,-11040.0,592263.0
2013-04-01 13:45:00,570334.0,0.0,34502.0,-1725.1,1725.1757035,1725.1757035,645180.0,658516.0,1.0,0.0,53680.0,-13336.0,591500.0
2013-04-01 14:00:00,561484.0,0.0,35461.0,-1773.05,1773.105302,1773.105302,645180.0,660416.0,1.0,0.0,63471.0,-15236.0,581709.0
2013-04-01 14:15:00,575409.0,0.0,11500.0,-1725.0,1725.1922759999998,1725.1922759999998,645180.0,669208.0,3.0,0.0,59299.0,-1028.0,585881.0
2013-04-01 14:30:00,566768.0,0.0,33037.0,-1651.85,1651.9226500000007,1651.9226500000007,666124.0,676780.0,1.0,0.0,76975.0,-10656.0,589149.0
2013-04-01 14:45:00,566412.0,0.0,30902.0,-1545.1,1545.1910240000007,1545.1910240000007,666124.0,674359.0,1.0,0.0,77045.0,-8235.0,589079.0
2013-04-01 15:00:00,544804.0,0.0,29650.0,-1482.5,1482.584898,1482.584898,666124.0,675501.0,1.0,0.0,101047.0,-9377.0,565077.0
2013-04-01 15:15:00,564905.0,0.0,13437.0,-1343.7,1343.7846272499992,1343.7846272499992,666124.0,680146.0,2.0,0.0,88367.0,-585.0,577757.0
2013-04-01 15:30:00,566277.0,0.0,24257.0,-1212.85,1212.9458564999995,1212.9458564999995,678976.0,682924.0,1.0,0.0,92390.0,-3948.0,586586.0
2013-04-01 15:45:00,587625.0,0.0,20710.0,-1035.5,1035.5690857500012,1035.5690857500012,678976.0,681756.0,1.0,0.0,73421.0,-2780.0,605555.0
2013-04-01 16:00:00,577772.0,0.0,18405.0,-920.25,920.341015,920.341015,678976.0,681602.0,1.0,0.0,85425.0,-2626.0,593551.0
2013-04-01 16:15:00,592190.0,0.0,14154.0,-707.7,707.7894649999997,707.7894649999997,678976.0,683642.0,1.0,0.0,77298.0,-4666.0,601678.0
2013-04-01 16:30:00,598104.0,0.0,9936.0,-496.8,496.8746149999997,496.8746149999997,678976.0,682153.0,1.0,0.0,74113.0,-3177.0,604863.0
2013-04-01 16:45:00,596694.0,0.0,5644.0,-282.2,282.28776500000095,282.28776500000095,678976.0,679753.0,1.0,0.0,77415.0,-777.0,601561.0
2013-04-01 17:00:00,578044.0,0.0,247.0,-12.35,12.388914999999542,12.388914999999542,678976.0,674427.0,1.0,0.0,96136.0,4549.0,582840.0
2013-04-01 17:15:00,575365.0,0.0,11630.0,232.6,-232.58253524999958,-232.58253524999958,678976.0,106666.0,1.0,0.0,95036.0,572310.0,583940.0
2013-04-01 17:30:00,566943.0,0.0,23376.0,467.52,-467.5004855000006,-467.5004855000006,678976.0,121577.0,1.0,0.0,98201.0,557399.0,580775.0
2013-04-01 17:45:00,578281.0,0.0,32970.0,659.4,-659.3910357499999,-659.3910357499999,678976.0,115999.0,1.0,0.0,83029.0,562977.0,595947.0
2013-04-01 18:00:00,574310.0,0.0,43275.0,865.5,-865.4808860000003,-865.4808860000003,678976.0,125270.0,1.0,0.0,81995.0,553706.0,596981.0
